Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
30/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
31/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
01/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
02/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
03/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
04/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
05/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
06/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
07/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
08/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
09/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
10/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
11/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
12/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
13/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
14/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
15/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
16/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
17/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
18/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
19/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
20/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
21/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
22/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
23/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
24/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
25/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
26/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
27/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
28/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
29/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
30/04/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
01/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
02/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
03/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
04/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
05/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
06/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
07/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
08/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
09/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
10/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
11/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
12/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
13/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
14/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
15/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
16/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
17/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
18/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
19/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
20/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
21/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
22/05/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
